p,p_step,q_step,span,comment
0.5,1,1,1,[50.0354 ％（+0.0354） 1表 1裏 1目 1～1局] [50.0000 ％（+0.0000） 1表 1裏 2目 2～3局]
0.51,1,1,1,[50.9984 ％（+0.9984） 1表 1裏 1目 1～1局] [50.4878 ％（+0.4878） 1表 1裏 2目 2～3局] [50.4166 ％（+0.4166） 1表 1裏 3目 3～5局] [50.3154 ％（+0.3154） 1表 1裏 4目 4～7局] [50.2700 ％（+0.2700） 1表 1裏 5目 5～9局]
0.52,1,1,1,[52.0023 ％（+2.0023） 1表 1裏 1目 1～1局] [50.9610 ％（+0.9610） 1表 1裏 2目 2～3局] [50.7509 ％（+0.7509） 1表 1裏 3目 3～5局] [50.6068 ％（+0.6068） 1表 1裏 4目 4～7局] [50.5536 ％（+0.5536） 1表 1裏 5目 5～9局] [50.4648 ％（+0.4648） 1表 1裏 6目 6～11局] [50.4541 ％（+0.4541） 1表 1裏 7目 7～13局] [49.7323 ％（-0.2677） 2表 3裏 7目 3～6局]
0.53,1,1,1,[52.9891 ％（+2.9891） 1表 1裏 1目 1～1局] [51.4634 ％（+1.4634） 1表 1裏 2目 2～3局] [51.1154 ％（+1.1154） 1表 1裏 3目 3～5局] [50.9000 ％（+0.9000） 1表 1裏 4目 4～7局] [50.8312 ％（+0.8312） 1表 1裏 5目 5～9局] [50.6849 ％（+0.6849） 1表 1裏 6目 6～11局] [50.1218 ％（+0.1218） 2表 3裏 7目 3～6局]
0.54,1,1,2,[54.0278 ％（+4.0278） 1表 1裏 1目 1～1局] [52.0202 ％（+2.0202） 1表 1裏 2目 2～3局] [51.5030 ％（+1.5030） 1表 1裏 3目 3～5局] [51.2953 ％（+1.2953） 1表 1裏 4目 4～7局] [51.1274 ％（+1.1274） 1表 1裏 5目 5～9局] [50.9958 ％（+0.9958） 1表 1裏 6目 6～11局] [49.0629 ％（-0.9371） 2表 3裏 6目 3～4局]
0.55,1,2,3,[54.9485 ％（+4.9485） 1表 1裏 1目 1～1局] [52.4641 ％（+2.4641） 1表 1裏 2目 2～3局] [51.9541 ％（+1.9541） 1表 1裏 3目 3～5局] [48.3598 ％（-1.6402） 1表 2裏 3目 2～4局]
0.56,1,2,3,[55.9998 ％（+5.9998） 1表 1裏 1目 1～1局] [53.0551 ％（+3.0551） 1表 1裏 2目 2～3局] [52.2498 ％（+2.2498） 1表 1裏 3目 3～5局] [48.7097 ％（-1.2903） 1表 2裏 3目 2～4局]
0.57,1,2,3,[56.9766 ％（+6.9766） 1表 1裏 1目 1～1局] [53.5829 ％（+3.5829） 1表 1裏 2目 2～3局] [52.6834 ％（+2.6834） 1表 1裏 3目 3～5局] [49.0140 ％（-0.9860） 1表 2裏 3目 2～4局]
0.58,1,2,3,[58.0681 ％（+8.0681） 1表 1裏 1目 1～1局] [54.0844 ％（+4.0844） 1表 1裏 2目 2～3局] [53.0373 ％（+3.0373） 1表 1裏 3目 3～5局] [49.4035 ％（-0.5965） 1表 2裏 3目 2～4局]
0.59,1,2,3,[58.9621 ％（+8.9621） 1表 1裏 1目 1～1局] [54.6932 ％（+4.6932） 1表 1裏 2目 2～3局] [53.3835 ％（+3.3835） 1表 1裏 3目 3～5局] [49.6455 ％（-0.3545） 1表 2裏 3目 2～4局]
0.6,1,2,2,[59.9819 ％（+9.9819） 1表 1裏 1目 1～1局] [55.2457 ％（+5.2457） 1表 1裏 2目 2～3局] [45.6622 ％（-4.3378） 1表 2裏 2目 1～2局]
0.61,1,2,2,[61.0268 ％（+11.0268） 1表 1裏 1目 1～1局] [55.8712 ％（+5.8712） 1表 1裏 2目 2～3局] [46.4466 ％（-3.5534） 1表 2裏 2目 1～2局]
0.62,1,2,2,[61.9946 ％（+11.9946） 1表 1裏 1目 1～1局] [56.3296 ％（+6.3296） 1表 1裏 2目 2～3局] [47.4355 ％（-2.5645） 1表 2裏 2目 1～2局]
0.63,1,2,2,[62.9655 ％（+12.9655） 1表 1裏 1目 1～1局] [56.9921 ％（+6.9921） 1表 1裏 2目 2～3局] [48.3191 ％（-1.6809） 1表 2裏 2目 1～2局]
0.64,1,2,2,[64.0509 ％（+14.0509） 1表 1裏 1目 1～1局] [57.5388 ％（+7.5388） 1表 1裏 2目 2～3局] [49.2628 ％（-0.7372） 1表 2裏 2目 1～2局]
